City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,blackmans bay,-43.0167,147.3167,16.07,85,100,0.45,AU,1707013050
148,tolanaro,-25.0319,46.9987,22.67,89,21,5.3,MG,1707013050
149,severodvinsk,64.5635,39.8302,-6.94,94,98,5.9,RU,1707013051
150,winnemucca,40.973,-117.7357,1.03,64,20,0.0,US,1707013051
151,thompson,55.7435,-97.8558,0.09,100,100,2.06,CA,1707013051
152,evanston,42.0411,-87.6901,1.73,83,20,4.63,US,1707013051
153,tabira,-7.5908,-37.5394,24.19,62,39,4.81,BR,1707012872
154,pleiku,13.9833,108.0,26.46,45,5,0.61,VN,1707013051
155,apartado,7.883,-76.6259,24.57,95,92,1.75,CO,1707013052
156,west island,-12.1568,96.8225,24.99,94,75,3.09,CC,1707013052
157,yonan-up,37.9089,126.1611,3.51,61,57,2.35,KP,1707013052
158,san antonio de pale,-1.4014,5.6325,27.81,74,100,3.0,GQ,1707013052
159,hilo,19.7297,-155.09,23.86,59,100,6.69,US,1707012772
160,ancud,-41.8697,-73.8203,11.65,75,15,2.31,CL,1707013010
161,acajutla,13.5928,-89.8275,25.53,80,9,4.27,SV,1707013052
162,veraval,20.9,70.3667,22.28,56,3,4.52,IN,1707013053
163,bikenibeu village,1.3673,173.1241,30.98,74,75,4.12,KI,1707013053
164,acarau,-2.8856,-40.12,26.9,84,100,5.84,BR,1707013053
165,coquimbo,-29.9533,-71.3436,18.85,88,0,1.54,CL,1707013053
166,lobujya,27.95,86.8167,-13.71,37,30,2.08,NP,1707013053
167,avarua,-21.2078,-159.775,30.03,74,40,4.12,CK,1707013054
168,katpur,21.05,71.7833,22.64,52,5,3.99,IN,1707013054
169,remire-montjoly,4.9167,-52.2667,26.02,94,0,0.51,GF,1707013054
170,olonkinbyen,70.9221,-8.7187,-5.55,61,100,10.94,SJ,1707013054
171,purmerend,52.505,4.9597,10.0,79,100,3.58,NL,1707013054
172,val-d'or,48.1002,-77.7828,-4.95,93,100,1.54,CA,1707013054
173,college,64.8569,-147.8028,-36.62,64,20,1.54,US,1707012898
174,newcastle west,52.4492,-9.0611,10.81,95,100,5.07,IE,1707013055
175,masterton,-40.9597,175.6575,22.28,32,5,4.01,NZ,1707013055
176,souillac,-20.5167,57.5167,24.21,69,20,1.54,MU,1707013055
177,vilyuysk,63.7553,121.6247,-23.33,93,100,1.79,RU,1707013055
178,makokou,0.5738,12.8642,22.17,87,100,1.05,GA,1707013055
179,luderitz,-26.6481,15.1594,18.0,99,41,0.91,NA,1707013055
180,malvan,16.0667,73.4667,22.71,59,87,2.59,IN,1707013055
181,vilyuchinsk,52.9306,158.4028,-10.85,71,63,3.93,RU,1707013056
182,deqen,29.9618,90.7188,-4.98,30,0,2.11,CN,1707013056
183,holualoa,19.6228,-155.9522,23.77,77,100,4.63,US,1707013056
184,vodice,43.7608,15.7828,6.98,64,6,1.2,HR,1707013056
185,pasuquin,18.3328,120.6177,26.97,83,20,2.06,PH,1707013056
186,tual,-5.6667,132.75,28.78,76,26,4.69,ID,1707013057
187,hasaki,35.7333,140.8333,7.38,89,100,4.75,JP,1707013057
188,san patricio,28.017,-97.5169,18.24,52,1,2.06,US,1707012884
189,laibin,23.7,109.2667,11.03,91,100,4.39,CN,1707013057
190,wuyishan,28.0047,117.8114,8.87,99,100,2.07,CN,1707013058
191,northam,51.0333,-4.2167,10.77,100,100,8.0,GB,1707013058
192,maxixe,-23.8597,35.3472,22.94,88,85,2.35,MZ,1707013058
193,dromana,-38.3418,144.9656,35.94,56,0,2.79,AU,1707013059
194,visby,57.6409,18.296,4.12,75,54,9.77,SE,1707013059
195,afaahiti,-17.75,-149.2833,28.93,77,98,4.25,PF,1707013059
196,selfoss,63.9331,-20.9971,-4.42,81,100,3.43,IS,1707013059
197,lagunas,-5.2269,-75.6753,23.96,90,100,0.57,PE,1707013060
198,iron river,46.0927,-88.6423,-2.58,78,1,0.89,US,1707013060
199,kourou,5.1552,-52.6478,26.03,93,47,2.67,GF,1707013060
200,quartu sant'elena,39.2419,9.1839,10.56,79,0,4.12,IT,1707013011
201,goz beida,13.95,20.55,17.85,22,0,3.06,TD,1707013060
202,anatuya,-28.4606,-62.8347,33.95,29,94,4.56,AR,1707013060
203,susuman,62.7833,148.1667,-25.05,96,93,1.38,RU,1707013060
204,dunedin,-45.8742,170.5036,23.93,35,92,1.43,NZ,1707013061
205,nilsia,63.2,28.0833,-5.49,93,89,3.55,FI,1707013061
206,namsos,64.4662,11.4957,2.95,56,40,7.72,NO,1707013061
207,punta arenas,-53.15,-70.9167,11.06,66,100,3.6,CL,1707013061
208,belyy yar,53.6039,91.3903,-13.06,92,75,1.0,RU,1707013061
209,richfield,44.8833,-93.283,0.34,85,0,3.09,US,1707013061
210,baruun-urt,46.6806,113.2792,-22.18,93,53,3.36,MN,1707013061
211,suva,-18.1416,178.4415,31.71,62,75,3.6,FJ,1707013062
212,greenville,35.6127,-77.3663,3.01,89,0,0.0,US,1707013028
213,mek'ele,13.4967,39.4753,15.35,79,89,3.32,ET,1707013062
214,puerto baquerizo moreno,-0.9,-89.6,25.56,88,18,4.6,EC,1707013062
215,mata-utu,-13.2816,-176.1745,28.7,77,100,8.9,WF,1707013062
216,uturoa,-16.7333,-151.4333,27.97,72,100,4.75,PF,1707013062
217,tazovsky,67.4667,78.7,-14.44,94,100,2.2,RU,1707013062
218,east london,-33.0153,27.9116,24.4,87,91,3.53,ZA,1707013063
219,dahlonega,34.5326,-83.9849,9.06,70,99,3.27,US,1707013063
220,yima,34.7381,111.8839,-4.69,88,100,3.89,CN,1707013063
221,bandon,51.7469,-8.7425,11.77,96,100,6.9,IE,1707013063
222,gunjur,13.2019,-16.7339,23.04,64,1,1.03,GM,1707013063
223,kotido,2.9806,34.1331,23.0,54,65,3.71,UG,1707013063
224,mokhotlong,-29.2894,29.0675,11.15,92,96,0.57,LS,1707013063
225,timbiqui,2.7717,-77.6654,24.96,91,99,0.73,CO,1707013063
226,goya,-29.14,-59.2626,29.2,37,0,3.26,AR,1707013064
227,angra do heroismo,38.65,-27.2167,16.18,91,20,0.89,PT,1707013064
228,newman,37.3138,-121.0208,11.81,75,100,1.59,US,1707013064
229,bakaly,55.1789,53.8028,-8.69,95,99,4.13,RU,1707013064
230,georgetown,5.4112,100.3354,29.97,74,20,2.57,MY,1707013064
231,tura,25.5198,90.2201,15.18,33,0,0.88,IN,1707013064
232,san-pedro,4.7485,-6.6363,27.32,81,100,2.73,CI,1707013064
233,fale old settlement,-9.3852,-171.2468,28.12,80,100,9.09,TK,1707013064
234,tosontsengel,48.7567,98.2839,-17.94,99,100,1.21,MN,1707013065
235,gisborne,-38.6533,178.0042,20.02,48,0,3.83,NZ,1707013065
236,stanley,54.868,-1.6985,6.96,75,40,6.17,GB,1707012915
237,kyshtovka,56.555,76.6271,-14.81,97,100,2.68,RU,1707013065
238,prado,-17.3411,-39.2208,24.71,90,73,2.1,BR,1707013065
239,sinop,41.7711,34.8709,1.18,78,100,2.59,TR,1707013066
240,hobyo,5.3505,48.5268,25.29,86,70,7.42,SO,1707013066
241,maragogi,-9.0122,-35.2225,25.65,83,63,2.49,BR,1707013066
242,lihue,21.9789,-159.3672,24.58,62,100,11.32,US,1707013066
243,albany,42.6001,-73.9662,-1.47,63,20,0.45,US,1707012992
244,motygino,58.1831,94.7592,-23.69,100,100,1.38,RU,1707013066
245,wailua homesteads,22.0669,-159.378,24.24,62,100,11.32,US,1707013066
246,walvis bay,-22.9575,14.5053,19.53,88,81,2.06,NA,1707012934
247,touros,-5.1989,-35.4608,27.17,77,31,6.27,BR,1707012834
248,saldanha,-33.0117,17.9442,18.39,98,96,4.5,ZA,1707013066
249,mossel bay,-34.1831,22.146,18.96,94,100,3.44,ZA,1707013067
250,piti village,13.4626,144.6933,28.72,75,20,8.23,GU,1707013067
251,chonchi,-42.6128,-73.8092,12.4,78,46,0.48,CL,1707013067
252,nogliki,51.8333,143.1667,-15.92,79,5,4.92,RU,1707012961
253,yemetsk,63.4721,41.7941,-13.8,95,97,3.79,RU,1707013067
254,calama,-22.4667,-68.9333,18.1,41,45,1.23,CL,1707012848
255,la ronge,55.1001,-105.2842,-0.86,86,100,6.69,CA,1707013067
256,kangasniemi,61.9936,26.6479,-3.99,88,77,4.52,FI,1707013068
257,ilulissat,69.2167,-51.1,-20.99,49,94,6.69,GL,1707013068
258,viedma,-40.8135,-62.9967,14.13,52,82,3.61,AR,1707013068
259,mejit,10.2753,170.8646,26.75,75,100,8.62,MH,1707013068
260,newquay,50.4132,-5.0819,10.42,100,100,7.2,GB,1707013068
261,alofi,-19.0595,-169.9187,30.94,70,90,4.63,NU,1707012922
262,sisimiut,66.9395,-53.6735,-20.95,86,76,4.14,GL,1707013068
263,freetown,8.484,-13.2299,26.84,83,99,3.09,SL,1707013069
264,richards bay,-28.783,32.0377,22.82,81,88,4.38,ZA,1707013069
265,margate,51.3813,1.3862,11.17,89,100,3.58,GB,1707013069
266,shevchenko,48.5,35.0,4.9,90,100,6.71,UA,1707013069
267,choibalsan,48.0667,114.5,-23.21,90,16,1.64,MN,1707013069
268,phan rang-thap cham,11.5667,108.9833,28.22,56,12,1.95,VN,1707013069
269,marovoay,-16.1,46.6333,25.03,83,100,2.02,MG,1707013069
270,hailey,43.5196,-114.3153,0.44,67,100,1.79,US,1707012867
271,malabar,-33.9667,151.25,36.51,60,0,6.17,AU,1707013070
272,hadibu,12.65,54.0333,24.0,78,72,4.21,YE,1707013070
273,jurm,36.8648,70.8342,-4.1,93,99,0.51,AF,1707013070
274,afif,23.9065,42.9172,9.91,36,27,4.43,SA,1707013070
275,smara,26.7384,-11.6719,15.0,14,95,4.7,EH,1707013070
276,saudarkrokur,65.7461,-19.6394,-10.73,92,99,3.97,IS,1707012859
277,trinidad,-14.8333,-64.9,26.02,75,18,0.17,BO,1707013070
278,lincheng,19.9078,109.6858,23.11,82,25,0.25,CN,1707012995
279,tequesta,26.9681,-80.1286,22.25,80,100,2.68,US,1707013070
280,teshi old town,5.5836,-0.1072,27.31,61,42,1.03,GH,1707013071
281,rio grande,-32.035,-52.0986,23.98,86,2,6.0,BR,1707013043
282,paciran,-6.8767,112.3761,28.14,77,81,3.74,ID,1707013071
283,ulsteinvik,62.3432,5.8487,5.42,72,100,6.26,NO,1707012922
284,canavieiras,-15.675,-38.9472,24.45,89,89,1.19,BR,1707013071
285,forio,40.7342,13.8646,12.51,90,10,5.63,IT,1707013071
286,zhabinka,52.1984,24.0115,4.71,78,89,7.87,BY,1707013071
287,sastobe,42.55,70.0,-0.06,98,100,0.66,KZ,1707013071
288,codrington,-38.2667,141.9667,27.07,36,1,5.36,AU,1707013071
289,tabou,4.423,-7.3528,26.96,83,98,2.95,CI,1707013071
290,capinopolis,-18.6819,-49.5697,21.13,89,100,1.95,BR,1707013071
291,ixtapa,20.7,-105.2,23.57,60,20,1.54,MX,1707013072
292,aasiaat,68.7098,-52.8699,-31.62,93,43,2.05,GL,1707013072
293,nabire,-3.3667,135.4833,30.07,67,73,1.69,ID,1707013072
294,hithadhoo,-0.6,73.0833,27.43,77,98,2.33,MV,1707013072
295,verkhnevilyuysk,63.4453,120.3167,-22.91,91,100,2.4,RU,1707013072
296,nyurba,63.2842,118.3319,-26.09,92,94,3.07,RU,1707013072
297,geraldton,-28.7667,114.6,25.23,50,0,10.8,AU,1707013072
298,ipojuca,-8.3989,-35.0639,28.95,84,33,2.27,BR,1707012898
299,mount vernon,40.9126,-73.8371,3.83,59,75,4.63,US,1707012994
300,alice springs,-23.7,133.8833,33.75,22,100,4.63,AU,1707012948
301,gounou gaya,9.6294,15.5132,21.21,20,8,2.89,TD,1707013073
302,an nuhud,12.7,28.4333,15.32,21,18,6.49,SD,1707013073
303,chernyshevskiy,63.0128,112.4714,-35.23,100,71,1.44,RU,1707013073
304,fort bragg,35.139,-79.006,5.64,83,0,0.0,US,1707013073
305,las palmas de gran canaria,28.0997,-15.4134,21.54,23,0,3.09,ES,1707013073
306,muynoq,43.7683,59.0214,1.19,99,100,2.57,UZ,1707013073
307,gangtok,27.3333,88.6167,6.94,62,56,0.18,IN,1707013073
308,choyr,46.3611,108.3611,-19.31,84,100,1.29,MN,1707013074
309,bantogon,6.5333,124.0333,28.84,71,26,2.49,PH,1707013074
310,machico,32.7,-16.7667,18.35,83,20,3.09,PT,1707013074
311,taro,-8.3862,115.28,22.0,90,100,1.42,ID,1707013074
312,potchefstroom,-26.7167,27.1,16.38,79,31,2.31,ZA,1707013074
313,bengkulu,-3.8004,102.2655,25.53,82,100,1.66,ID,1707013074
314,ziway,7.9333,38.7167,18.55,77,98,5.92,ET,1707013074
315,tofol,5.3248,163.0078,27.79,79,100,7.41,FM,1707013074
316,lakshmipur,22.95,90.8333,18.95,62,0,1.14,BD,1707013075
317,lively,46.4334,-81.1498,-2.49,96,8,1.65,CA,1707013075
318,marsh harbour,26.5412,-77.0636,21.19,65,23,2.42,BS,1707013075
